transaction_id,customer_id,transaction_time,transaction_amount,transaction_type,merchant_category,device_type,location,customer_age,customer_income,days_since_last_transaction,new_device_flag,new_location_flag,account_age_days,is_international,is_fraud
1,C0001,2025-09-12 14:17:25.422914,600.27,transfer,entertainment,unknown,Jeju,60,3140000,23,0,1,3137,0,0
2,C0001,2025-09-12 22:49:25.422914,361.18,online,fashion,unknown,Daegu,60,3140000,18,0,1,3137,0,0
3,C0001,2025-09-12 23:57:25.422914,677.32,atm,fashion,desktop,Jeju,60,3140000,25,0,1,3137,0,0
4,C0001,2025-09-13 20:27:25.422914,1364.34,transfer,entertainment,mobile,Daegu,60,3140000,23,0,1,3137,0,0
5,C0001,2025-09-14 04:49:25.422914,334.51,atm,others,unknown,Jeju,60,3140000,2,0,1,3137,0,0
6,C0001,2025-09-14 13:17:25.422914,334.52,transfer,others,atm,Jeju,60,3140000,11,0,1,3137,0,0
7,C0001,2025-09-15 00:44:25.422914,1427.06,transfer,others,unknown,Daejeon,60,3140000,7,0,1,3137,0,0
8,C0001,2025-09-15 04:58:25.422914,745.42,pos,groceries,desktop,Jeju,60,3140000,18,0,1,3137,0,0
9,C0001,2025-09-15 14:47:25.422914,277.11,online,groceries,atm,Daegu,60,3140000,9,1,1,3137,0,0
10,C0002,2025-11-01 10:08:25.423183,622.69,transfer,others,desktop,Jeju,37,4500000,0,0,1,671,0,0
11,C0002,2025-11-02 01:20:25.423183,278.46,transfer,groceries,mobile,Daejeon,37,4500000,15,0,1,671,0,0
12,C0002,2025-11-02 18:17:25.423183,277.94,online,entertainment,mobile,Incheon,37,4500000,18,0,1,671,0,0
13,C0002,2025-11-03 02:55:25.423183,489.59,online,entertainment,unknown,Daegu,37,4500000,12,0,0,671,0,0
14,C0002,2025-11-03 23:10:25.423183,87.3,atm,fashion,mobile,Busan,37,4500000,6,0,1,671,0,0
15,C0002,2025-11-04 02:06:25.423183,101.5,pos,groceries,desktop,Busan,37,4500000,13,0,1,671,0,0
16,C0002,2025-11-04 12:12:25.423183,257.28,online,groceries,atm,Daejeon,37,4500000,14,1,1,671,0,0
17,C0002,2025-11-04 21:23:25.423183,179.42,pos,travel,mobile,Daegu,37,4500000,29,0,0,671,0,0
18,C0002,2025-11-04 23:35:25.423183,518.74,pos,fashion,atm,Jeju,37,4500000,22,0,1,671,0,0
19,C0002,2025-11-05 09:02:25.423183,195.11,atm,travel,mobile,Seoul,37,4500000,23,0,1,671,0,0
