축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명,외국인방문수,사진
제5회 강릉 비치비어페스티벌,경포해변 중앙광장,2025-06-27,2025-06-29,전국 브루어리 맥주+로컬푸드+플로깅+비어도슨트+플리마켓+라이브공연+디제잉파티,강릉비치비어페스티벌추진위원회,강원특별자치도 강릉시청,,033-640-5130,,,강원특별자치도 강릉시 창해로 514,강원특별자치도 강릉시 안현동 산1-9,37.80579695,128.907474,2025-03-04,4201000,강원특별자치도 강릉시,53,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 경포 벚꽃 잔치,경포대 및 경포호 일원,2025-03-28,2025-04-02,"바다와 호수, 흩날리는 벚꽃 감상+시화전시+민속놀이 체험+공예체험+다도,약선차 시음 및 허브향기 치료법 체험+벚꽃운동회+벚꽃버스킹",강원특별자치도 강릉시청,강원특별자치도 강릉시청,,033-640-5130,,,강원특별자치도 강릉시 창해로 514,강원특별자치도 강릉시 안현동 산1-9,37.80579695,128.907474,2025-03-04,4201000,강원특별자치도 강릉시,110,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 경포 썸머 페스티벌,경포해변 일원,2025-07-29,2025-08-04,무더운 여름에 시원한 경포 해변에서 열리는 야외 축제,강원특별자치도 강릉시청,강원특별자치도 강릉시청,,033-640-5130,,,강원특별자치도 강릉시 경포로 365,강원특별자치도 강릉시 저동 94,37.79556876,128.8965386,2025-03-04,4201000,강원특별자치도 강릉시,86,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
마곡사 신록축제,사곡면 운암리 마곡사일원,2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,마곡사신록축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,2022-11-21,4500000,충청남도 공주시,101,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제68회 백제문화제,금강신관공원,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,백제문화선양위원회,백제문화제추진위원회,,041-840-8112,https://www.baekje.org/kor/,,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,36.47835102,127.1204236,2022-11-21,4500000,충청남도 공주시,162,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제5회 겨울공주 군밤축제,온라인,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,겨울공주 군밤축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,36.43336915,127.124038,2022-11-21,4500000,충청남도 공주시,79,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제1회 유구색동수국정원 꽃축제,유구색동수국정원,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,공주시,공주시,,041-840-8111,,,,충청남도 공주시 유구읍 유구리 648-17,36.5555032985,126.9543952096,2022-11-21,4500000,충청남도 공주시,88,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
그루브인관악 페스티벌,별빛내린천,2022-07-16,2022-07-17,"모든 장르의 스트릿 댄스 배틀과 함께 플리마켓, 전시 등 다양한 스트릿 문화를 별빛내린천에서 만날 수 있는 문화축제",관악문화재단+서울자치구문화재단연합회,서울특별시 관악구청,서울문화재단,02-828-5763,https://gfac.or.kr/,,서울특별시 관악구 신원로 35,서울특별시 관악구 신림동 1638-1,37.48231224,126.9290234,2025-03-10,3200000,서울특별시 관악구,772,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2022 관악강감찬축제,낙성대공원,2022-10-14,2022-10-16,강감찬 장군 출병식 및 전승행렬 거리 퍼레이드+고려마을 테마 체험부스+강감찬 장군 추모제향 등 다채로운 행사 진행,관악문화재단,서울특별시 관악구청,문화체육관광부+서울특별시청,02-828-5762,https://ggcfest.com/,,서울특별시 관악구 낙성대로 77,서울특별시 관악구 봉천동 228,37.47197208,126.959371,2025-03-10,3200000,서울특별시 관악구,984,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2022 어린이동화페스티벌,관악문화재단 어린이라운지,2022-11-12,2022-11-12,"소방관마술쇼, 동화구연  및 인형극등 다양한 어린이 전문 프로그램 운영",관악문화재단,관악문화재단,서울특별시 관악구청,02-828-5829,https://lib.gwanak.go.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448855,2025-03-10,3200000,서울특별시 관악구,1268,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
